analysis,rmse,mae,r2,period
"Synthetic — weather stations (n=24, wide)",0.9493219818042505,0.8697163736041269,0.955591392129593,7 synthetic days
"Synthetic — local sensors (n=44, 1 km box)",0.1545979116493667,0.1251268923633651,0.998822265680337,7 synthetic days
Real NOAA — ordinary ST kriging (pooled),4.582966162081387,3.5912195303730634,0.4786310236356901,summer 2020
Real NOAA — regression ST kriging,3.1078961585180656,2.4761970322370837,0.7602354987939781,summer 2020
Real NOAA — ordinary ST kriging (pooled),4.6824696462712865,3.3988382109186497,0.6186242141659006,autumn 2020
Real NOAA — regression ST kriging,4.678002858817664,3.1034514851539523,0.6193514851041793,autumn 2020
10 nearest to target — LOO,5.434526816235045,3.7350829112751907,,summer 2020
10 farthest from target — LOO,6.919844475124442,4.821467871022447,,summer 2020
HPWREN vs ordinary kriging,8.643455224032474,7.321907467307266,-2.3032669809998936,Sept 2013
HPWREN vs regression kriging,7.302424321669488,6.101936125511786,-1.357778661428099,Sept 2013
